DSF,vc2
0.001,7.521438022
0.001176812,7.524046902
0.001384886,7.52448383
0.001629751,7.525746691
0.00191791,7.527484239
0.00225702,7.530003774
0.002656088,7.532719181
0.003125716,7.534539298
0.00367838,7.539392791
0.004328761,7.543774219
0.005094138,7.548850725
0.005994843,7.554938114
0.007054802,7.562018104
0.008302176,7.570269844
0.0097701,7.580043971
0.01149757,7.590560531
0.013530478,7.605253178
0.015922828,7.621588512
0.018738174,7.640565535
0.022051307,7.663983985
0.025950242,7.689876828
0.030538555,7.721840315
0.035938137,7.759235652
0.042292429,7.80399344
0.049770236,7.857557162
0.058570208,7.920791819
0.068926121,7.997363121
0.081113083,8.088668842
0.095454846,8.199623215
0.112332403,8.333834353
0.132194115,8.497271153
0.155567614,8.697888185
0.183073828,8.946126207
0.215443469,9.258142145
0.253536449,9.654298022
0.298364724,10.16316663
0.351119173,10.83610673
0.41320124,11.75016741
0.486260158,13.04337452
0.572236766,14.97771656
0.673415066,18.12209815
0.792482898,23.98217074
0.932603347,38.00432638
1.097498765,92.82582957
1.291549665,99.99902639
1.519911083,99.99938863
1.788649529,99.99952733
2.104904145,99.99959996
2.477076356,99.99964416
2.915053063,99.99967359
3.430469286,99.99969435
4.037017259,99.99970958
4.750810162,99.99972111
5.590810183,99.99973004
6.579332247,99.99973708
7.742636827,99.99974269
9.111627561,99.99974722
10.72267222,99.99975091
12.61856883,99.99975394
14.84968262,99.99975644
17.475284,99.9997585
20.56512308,99.99976022
24.20128265,99.99976166
28.48035868,99.99976287
33.51602651,99.99976388
39.44206059,99.99976472
46.41588834,99.99976544
54.62277218,99.99976604
64.28073117,99.99976655
75.64633276,99.99976698
89.02150854,99.99976734
104.7615753,99.99976756
123.2846739,99.99976757
145.0828778,99.99976757
170.7352647,99.99976757
200.9233003,99.99976758
236.4489413,99.99976757
278.2559402,99.99976757
327.4549163,99.99976757
385.3528594,99.99976757
453.4878508,99.99976757
533.6699231,99.99976757
628.0291442,99.99976757
739.0722034,99.99976757
869.7490026,99.99976757
1023.531022,99.99976757
1204.50354,99.99976757
1417.474163,99.99976757
1668.100537,99.99976757
1963.04065,99.99976757
2310.1297,99.99976757
2718.588243,99.99976757
3199.267138,99.99976757
3764.935807,99.99976757
4430.621458,99.99976757
5214.008288,99.99976757
6135.907273,99.99976757
7220.809018,99.99976757
8497.534359,99.99976757
10000,99.99976757